signal_id,timestamp,pair,direction,entry_price,target_1,target_2,stop_loss,confidence,agreement_level,risk_reward,result,pnl_percent,result_timestamp,notes
SIG-61941DD6,2026-03-11 16:58:56,XRP/USDT,SHORT,1.375,1.3441,1.3234,1.3956,83.52,STRONG,1.5,PENDING,,,
SIG-F64668A0,2026-03-11 17:02:44,SOL/USDT,SHORT,85.09,83.1755,81.8991,86.3663,47.08,MODERATE,1.5,PENDING,,,
SIG-161B43D8,2026-03-11 17:07:33,XRP/USDT,SHORT,1.3755,1.3446,1.3239,1.3961,56.76,MODERATE,1.5,PENDING,,,
SIG-7D1FC930,2026-03-11 17:29:11,XRP/USDT,SHORT,1.3742,1.3433,1.3227,1.3948,45.94,MODERATE,1.5,PENDING,,,
SIG-0D973906,2026-03-11 17:39:28,XRP/USDT,SHORT,1.371,1.3402,1.3196,1.3916,54.1,MODERATE,1.5,PENDING,,,
SIG-40F060C6,2026-03-11 18:00:01,DOGE/USDT,LONG,0.0928,0.09489,0.09628,0.09141,74.36,STRONG,1.5,PENDING,,,
SIG-270FCA5E,2026-03-11 18:20:36,BNB/USDT,SHORT,641.16,626.7339,617.1165,650.7774,46.46,STRONG,1.5,PENDING,,,
SIG-EB6AB565,2026-03-11 18:41:11,XRP/USDT,LONG,1.3881,1.4193,1.4402,1.3673,45.58,MODERATE,1.5,PENDING,,,
SIG-DA0958FF,2026-03-11 18:51:29,BNB/USDT,LONG,647.46,662.0279,671.7398,637.7481,63.06,STRONG,1.5,PENDING,,,
SIG-27186510,2026-03-11 19:16:52,DOT/USDT,SHORT,1.534,1.4995,1.4765,1.557,58.78,STRONG,1.5,PENDING,,,
SIG-76BCEF32,2026-03-11 19:27:41,DOT/USDT,SHORT,1.527,1.4926,1.4697,1.5499,60.46,MODERATE,1.5,PENDING,,,
SIG-053E09F9,2026-03-11 21:50:07,BNB/USDT,LONG,647.12,661.6802,671.387,637.4132,58.26,MODERATE,1.5,PENDING,,,
SIG-A692AE12,2026-03-11 22:00:33,BNB/USDT,LONG,647.59,662.1608,671.8746,637.8762,61.76,MODERATE,1.5,PENDING,,,
